contest,repo_hash,Property,severity,our_confidence,our_tag,our_subtag,gold_tag (fill if wrong),gold_subtag (fill if wrong),description
(unmapped),73f6a793d916,113,High,high,DoS,No Recovery Mechanism,,,"Vaults can be bricked by `selfdestruct()`ing implementations, using forged immutable args. Source: ## Found by 0xLogos, IllIllI, fugazzi, zzykxx ## Summary The clone-with-immutable-args pattern is unsafe to use when one of the immutable arguments controls an address being delegated to. ## Vulnerability Detail As was seen in the Astaria beacon proxy"
(unmapped),9470d2cf198f,114,Medium,high,Arithmetic,Token Decimal,,,"`maxTokenAmountPerUser` limit can be bypassed when currency token has less decimals than the launch token.. Source: ## Found by 056Security, 0x15, 0xAlipede, 0xAsen, 0xDemon, 0xMosh, 0xShahilHussain, 0xYjs, 0xbakeng, 0xeix, 0xiehnnkta, 0xlookman, 0xmujahid002, 0xnegan, 0xnolo, 0xpetern, 0xpranav, 10ap17, 1nc0gn170, Aamirusmani1552, Adotsam, Albort,"
(unmapped),9470d2cf198f,115,Medium,high,Accounting Error,State Update Inconsistency,,,"`userTokens` accounting in `Launch.sol::updateParticipation` is updated incorrectly and can lead to loss of user funds, DOS and a broken invariant. Source: ## Found by 0rpse, 0xbakeng, 0xc0ffEE, 10ap17, Boy2000, IvanFitro, John44, KlosMitSoss, Limbooo, X0sauce, ZdravkoHr., farismaulana, rokinot, zzykxx ### Summary When a user reduces their particip"
(unmapped),9ddd6b83c27e,116,High,high,Access Control,Asset Theft,,,"If a user approves junior vault tokens to WithdrawPeriphery, anyone can withdraw/redeem his/her token. Source: ## Found by Nyx, simon135, GimelSec, cccz, clems4ever ## Summary If users want to withdraw/redeem tokens by WithdrawPeriphery, they should approve token approval to WithdrawPeriphery, then call withdrawToken() or redeemToken(). But if user"
(unmapped),9ddd6b83c27e,117,High,high,Logic error,Implementation Error,,,"DnGmxJuniorVaultManager#_rebalanceBorrow logic is flawed and could result in vault liquidation. Source: ## Found by clems4ever, 0x52 ## Summary DnGmxJuniorVaultManager#_rebalanceBorrow fails to rebalance correctly if only one of the two assets needs a rebalance. In the case where one assets increases rapidly in price while the other stays constant,"
(unmapped),9ddd6b83c27e,118,Medium,high,DoS,Bad Condition,,,"DnGmxJuniorVaultManager#harvestFees can push junior vault borrowedUSDC above borrow cap and DOS vault. Source: ## Found by 0x52, ctf\_sec ## Summary DnGmxJuniorVaultManager#harvestFees grants fees to the senior vault by converting the WETH to USDC and staking it directly. The result is that the senior vault gains value indirectly by increasing the"
(unmapped),9ddd6b83c27e,119,Medium,high,Oracle,Incorrect Formula,,,Wrong price calculation in DnGmxJuniorVaultManager.sol. Source: ## Found by clems4ever ## Summary in DnGmxJuniorVaultManager.sol at line:647: usdcPrice should be on denominator and MAX_PRECISION on numerator (cf pricing in Vault: uint256 redemptionAmount = _usdgAmount.mul(PRICE_PRECISION).div(price);) ## Vulnerability Detail ## Impact In the case u
(unmapped),9ddd6b83c27e,120,Medium,high,Slippage,Invalid Slippage Control / Missing slippage check,,,"WithdrawPeriphery#_convertToToken slippage control is broken for any token other than USDC. Source: ## Found by clems4ever, 0x52 ## Summary WithdrawPeriphery allows the user to redeem junior share vaults to any token available on GMX, applying a fixed slippage threshold to all redeems. The slippage calculation always returns the number of tokens to"
(unmapped),9ddd6b83c27e,121,Medium,high,Slippage,Hardcoded Parameter,,,"WithdrawPeriphery uses incorrect value for MAX_BPS which will allow much higher slippage than intended. Source: ## Found by 0x52 ## Summary WithdrawPeriphery accidentally uses an incorrect value for MAX_BPS which will allow for much higher slippage than intended. ## Vulnerability Detail uint256 internal constant MAX_BPS = 1000; BPS is typically 10,"
(unmapped),9ddd6b83c27e,122,Medium,high,ERC4626,Inflation Attack,,,"Early depositors to DnGmxSeniorVault can manipulate exchange rates to steal funds from later depositors. Source: ## Found by tives, \_\_141345\_\_, GimelSec, cccz, clems4ever, ctf\_sec, peanuts, joestakey, rvierdiiev, 0x52 ## Summary To calculate the exchange rate for shares in DnGmxSeniorVault it divides the total supply of shares by the totalAsse"
(unmapped),9ddd6b83c27e,123,Medium,high,Logic error,Implementation Error,,,"DnGmxJuniorVaultManager#_totalAssets current implementation doesn't properly maximize or minimize. Source: ## Found by 0x52 ## Summary The maximize input to DnGmxJuniorVaultManager#_totalAssets indicates whether to either maximize or minimize the NAV. Internal logic of the function doesn't accurately reflect that because under some circumstances, m"
(unmapped),27c6f2a68058,133,High,high,Access Control,Asset Theft,,,"ChiikawaToken.mint is public and lacks onlyOwner or any authorization check, allowing any address to mint unlimited CHIIKAWA tokens and dilute or steal token value."
(unmapped),348856fe60ac,134,Medium,high,DoS,payable / receive(),,,"BlackStar.receive lets anyone reset releaseTime by sending ETH directly to the contract, so an attacker can repeatedly send dust before expiry and indefinitely delay the owner withdrawal."
(unmapped),c2426a2ab283,135,High,high,Reentrancy,Violating CEI / Missing nonReentrant,,,ChiikawaSticker.claim calls _safeMint before clearing canClaim[msg.sender]; a malicious ERC721 receiver can reenter claim from onERC721Received and mint multiple NFTs from one purchase.
(unmapped),a4d91fb1550f,235,Medium,high,Accounting Error,Fee On Transfer Token,,,The DInterest.deposit function takes a depositAmount parameter but this parameter is not the actual transferred amount for fee-on-transfer / deflationary (or other rebasing) tokens. The actual deposited amount might be lower than the specified depositAmount of the function parameter. This would lead to wrong interest rate calculations on the
(unmapped),a4d91fb1550f,243,Medium,no-vote,"Accounting Error, Cross-Chain",Rebase Token,,,"Unchecking the ownership of `mph` in function `distributeFundingRewards` could cause several critical functions to revert. In contract MPHMinter, the function distributeFundingRewards does not check whether the contract itself is the owner of mph. If the contract is not the owner of mph, mph.ownerMint could revert, causing functions such as withdra"
2021-06-gro,9befb133ee74,206,High,high,Access Control,Unauthorized Upgrade,,,"Incorrect use of operator leads to arbitrary minting of GVT tokens. _Submitted by 0xRajeev, also found by pauliax and gpersoon_ The distributeStrategyGainLoss() function distributes any gains or losses generated from a harvest and is expected to be called only by valid protocol vault adaptors. It is an externally visible function and the access con"
2021-06-gro,e6e43dfea59f,207,High,high,Access Control,Unauthorized Upgrade,,,"Incorrect use of operator leads to arbitrary minting of GVT tokens. _Submitted by 0xRajeev, also found by pauliax and gpersoon_ The distributeStrategyGainLoss() function distributes any gains or losses generated from a harvest and is expected to be called only by valid protocol vault adaptors. It is an externally visible function and the access con"
2021-06-gro,9befb133ee74,210,High,high,Arithmetic,Unsafe Downcast,,,"implicit underflows. _Submitted by gpersoon, also found by cmichel_ There are a few underflows that are converted via a typecast afterwards to the expected value. If solidity 0.8.x would be used, then the code would revert. * int256(a-b) where a and b are uint: For example, if a=1 and b=2, then the intermediate result would be uint(-1) == 2**256-1"
2021-06-gro,e6e43dfea59f,211,High,high,Arithmetic,Unsafe Downcast,,,"implicit underflows. _Submitted by gpersoon, also found by cmichel_ There are a few underflows that are converted via a typecast afterwards to the expected value. If solidity 0.8.x would be used, then the code would revert. * int256(a-b) where a and b are uint: For example, if a=1 and b=2, then the intermediate result would be uint(-1) == 2**256-1"
2021-06-gro,9befb133ee74,214,High,high,Oracle,Invalid Validation,,,"`Buoy3Pool.safetyCheck` is not precise and has some assumptions. _Submitted by cmichel, also found by shw_ The safetyCheck function has several issues that impact how precise the checks are: 1. Only checks if the a/b and a/c ratios are within BASIS_POINTS. By transitivity, b/c is only within 2 * BASIS_POINTS if a/b and a/c are in range. For a more"
2021-06-gro,e6e43dfea59f,215,High,high,Oracle,Invalid Validation,,,"`Buoy3Pool.safetyCheck` is not precise and has some assumptions. _Submitted by cmichel, also found by shw_ The safetyCheck function has several issues that impact how precise the checks are: 1. Only checks if the a/b and a/c ratios are within BASIS_POINTS. By transitivity, b/c is only within 2 * BASIS_POINTS if a/b and a/c are in range. For a more"
2021-06-gro,9befb133ee74,219,High,high,Logic error,Bad Condition,,,"The function sortVaultsByDelta doesn't always work as expected. Suppose all the delta's are positive, and delta1 >= delta2 >= delta3 > 0. Then maxIndex = 0. And (delta < minDelta (==0) ) is never true, so minIndex = 0. Then (assuming bigFirst==true): This is clearly not what is wanted, all vault"
2021-06-gro,e6e43dfea59f,220,High,high,Logic error,Bad Condition,,,"The function sortVaultsByDelta doesn't always work as expected. Suppose all the delta's are positive, and delta1 >= delta2 >= delta3 > 0. Then maxIndex = 0. And (delta < minDelta (==0) ) is never true, so minIndex = 0. Then (assuming bigFirst==true): This is clearly not what is wanted, all vault"
2021-06-gro,9befb133ee74,226,Medium,high,Chainlink,Deprecated Library,,,"Use of deprecated Chainlink function `latestAnswer`. _Submitted by shw_ According to Chainlink's documentation (Deprecated API Reference, Migration Instructions, and API Reference), the latestAnswer function is deprecated. This function does not throw an error if no answer has been reached, but instead returns 0, causing an incorrect price to be fe"
2021-06-gro,e6e43dfea59f,227,Medium,high,Chainlink,Deprecated Library,,,"Use of deprecated Chainlink function `latestAnswer`. _Submitted by shw_ According to Chainlink's documentation (Deprecated API Reference, Migration Instructions, and API Reference), the latestAnswer function is deprecated. This function does not throw an error if no answer has been reached, but instead returns 0, causing an incorrect price to be fe"
2021-06-gro,9befb133ee74,228,Medium,high,Chainlink,Deprecated Library,,,"Usage of deprecated ChainLink API in `Buoy3Pool`. _Submitted by cmichel, also found by 0xRajeev and a_delamo_ The Chainlink API (latestAnswer) used in the Buoy3Pool oracle wrappers is deprecated: > This API is deprecated. Please see API Reference for the latest Price Feed API. Chainlink Docs It seems like the old API can return stale data. Checks s"
2021-06-gro,e6e43dfea59f,229,Medium,high,Chainlink,Deprecated Library,,,"Usage of deprecated ChainLink API in `Buoy3Pool`. _Submitted by cmichel, also found by 0xRajeev and a_delamo_ The Chainlink API (latestAnswer) used in the Buoy3Pool oracle wrappers is deprecated: > This API is deprecated. Please see API Reference for the latest Price Feed API. Chainlink Docs It seems like the old API can return stale data. Checks s"
2021-06-gro,9befb133ee74,232,Medium,high,Arithmetic,Token Decimal,,,"The two BaseVaultAdaptor.calculateShare functions compute share = amount.mul(uint256(10)decimals).div(sharePrice) This assumes that the sharePrice is always in _token_ decimals and that _token_ decimals is the same as _vault_ decimals. Both these assumptions happen to be correct for Yearn vaults, but that will not nec"
2021-06-gro,e6e43dfea59f,233,Medium,high,Arithmetic,Token Decimal,,,"The two BaseVaultAdaptor.calculateShare functions compute share = amount.mul(uint256(10)decimals).div(sharePrice) This assumes that the sharePrice is always in _token_ decimals and that _token_ decimals is the same as _vault_ decimals. Both these assumptions happen to be correct for Yearn vaults, but that will not nec"
2021-06-gro,9befb133ee74,319,Medium,high,Flashloan,Bypass Mechanism,,,The switchEoaOnly() allows the owner to disable preventSmartContracts (the project's plan apparently is to do so after the beta-period) which will allow any smart contract to interact with the protocol and potentially exploit any underlying flash loan vulnerabilities which are specified as an area of critical concern. Th
2021-06-gro,9befb133ee74,328,Medium,high,ERC4626,Inflation Attack,,,"The protocol computes a factor when minting (and burning) tokens, which is the exchange rate of rebase to base tokens (base supply / total assets value), see GToken.factor(). The first user can manipulate this factor such that it always returns 0. Example: - Attacker deposits 100.0 DAI and mints 100 * 1e18 PWRD: De"
2021-07-sherlock,97843b77b287,254,Medium,low,Logic error,Fee On Transfer Token,,,"The sherlock smart contract system uses internal bookkeeping of arbitrary ERC20 token balances. It doesn't assert that the ERC20 doesn't implement some non-standard behavior. For example, deflationary tokens, or tokens with a transfer fee, will result in incorrect internal balances. In summary, a"
2021-07-sherlock,97843b77b287,213,High,high,DoS,Implementation Error,,,"Single under-funded protocol can break paying off debt. _Submitted by cmichel, also found by walker and gpersoon_ The SherXERC20.payOffDebtAll function iterates over all protocols of the token. If _a single project_ does not have enough funds to cover the premium payments, the transactions come to a halt, see _payOffDebt: solidity debt = _accruedDe"
2021-07-sherlock,97843b77b287,266,Medium,high,Accounting Error,State Update Inconsistency,,,"When a large payout occurs, it will lower unallocatedSherX. This could mean some parties might not be able to get their Yield. The first couple of users (for which harvest is called or which transfer tokens) will be able to get their full Yield, until the moment unallocatedSherX is depleted. The next users don't get any"
2021-07-sherlock,97843b77b287,285,Medium,no-vote,Logic error,"Incorrect Parameter, Missing Upper/Lower Bound Check",,,"The _doSherX function does not attempt to pay off the accrued premiums (""pay off debt"") for most tokens, only for the ones that would otherwise revert the tx: The amounts = LibSherX.calcUnderlying(totalSherX) array is an optimistic view assuming all outstanding, accrued premiums would indeed be paid until now. However, it"
2021-07-sherlock,97843b77b287,324,Medium,high,Upgradeable,Diamond,,,"GovDev.sol has a function updateSolution to upgrade parts of the contract via the Diamond construction. Via updateSolution, any functionality can be changed and all the funds can be accessed/rugged. Even if this is well intended the project could still be called out resulting in a reputation risk, see for [example(http"
2021-10-slingshot,8f18f7d5c396,271,Medium,low,DoS,payable / receive(),,,"`initialBalance` for native token is wrong. _Submitted by WatchPug, also found by daejunpark, gpersoon, hickuphh3, kenzo, and pmerkleplant_. < solidity function executeTrades( address fromToken, address toToken, uint256 fromAmount, TradeFormat[] calldata trades, uint256 finalAmountMin, address depricated ) external nonReentrant payable { depricated"
2021-10-slingshot,8f18f7d5c396,276,Medium,low,Input Validation,"Invalid Validation, No Recovery Mechanism",,,"Trades where toToken is feeOnTransferToken might send user less tokens than finalAmountMin. _Submitted by kenzo_. Slingshot's executeTrades checks that the trade result amount (to be sent to the user) is bigger than finalAmountMin, and *after that* sends the user the amount. But if the token charges fee on transfer, the final transfer to the user w"
2021-12-amun,dd17040a53bc,272,Medium,low,DoS,Incorrect Parameter,,,"`totalSupply` may exceed `LibBasketStorage.basketStorage().maxCap`. _Submitted by Czar102, also found by gpersoon, gzeon, kenzo, and WatchPug_ #### Impact Total supply of the token may exceed the maxCap introduced. This can happen when a user wants to join the pool. The check in BasketFacet::joinPool(...) includes only the base amount, without fee."
2021-12-amun,dd17040a53bc,273,Medium,low,Input Validation,"Hardcoded Parameter, Invalid Validation",,,"block.timestamp or deadline. _Submitted by gpersoon, also found by kenzo and robee_ #### Impact Some functions, like rebalance() in RebalanceManagerV3 use \_deadline as a time limit for swapExactTokensForTokens() Other functions, like \_joinTokenSingle() of SingleTokenJoinV2.sol and \_exit() of SingleNativeTokenExitV2() use block.timestamp, althoug"
2021-12-amun,dd17040a53bc,201,High,high,DoS,Bad Condition,,,"It might not be possible to withdraw tokens from the basket. _Submitted by Czar102, also found by csanuragjain_ #### Impact When enough basket token owners exit, it will be impossible to exit pool with the last MIN_AMOUNT tokens because of this check. This will result in locking some tokens forever. #### Recommended Mitigation Steps Consider resign"
2021-12-amun,dd17040a53bc,203,High,high,Accounting Error,Refund Failed,,,"Unused ERC20 tokens are not refunded, and can be stolen by attacker. _Submitted by WatchPug_ Under certain circumstances, e.g. annualizedFee being minted to feeBeneficiary between the time user sent the transaction and the transaction being packed into the block and causing amounts of underlying tokens for each basketToken to decrease. It's possibl"
2021-12-amun,dd17040a53bc,225,Medium,high,ERC20,Missing Return Check,,,"ERC20 return values not checked. _Submitted by cmichel, also found by defsec, JMukesh, p4st13r4, and WatchPug_ The ERC20.transfer() and ERC20.transferFrom() functions return a boolean value indicating success. This parameter needs to be checked for success. Some tokens do **not** revert if the transfer failed but return false instead. See: - Single"
2021-12-amun,dd17040a53bc,241,Medium,no-vote,call / delegatecall,Missing Return Check,,,"Unchecked return value from low-level call(). _Submitted by JMukesh, also found by certora_ #### Impact The return value of the low-level call is not checked, so if the call fails, the Ether will be locked in the contract. If the low level is used to prevent blocking operations, consider logging failed calls. #### Proof of Concept < #### Recommende"
2021-12-amun,dd17040a53bc,256,Medium,high,Accounting Error,Incorrect Formula,,,"Annualized fee APY dependence on the frequency of executing a function. _Submitted by Czar102_ #### Impact The APY of the annualized fee is dependent on the frequency of the execution of the BasketFacet::chargeOutstandingAnnualizedFee(). If it is called more frequently, the compounding is more frequent and the APY is higher. For less used baskets,"
2021-12-amun,dd17040a53bc,257,Medium,high,Accounting Error,Incorrect Formula,,,"fees calculations are not accurate. _Submitted by certora_ after that fee is calculated, it is minted to the feeBeneficiary. simply minting the exact amount results lower fee than it should be. #### Impact feeBeneficiary will get less fees than it should. #### Proof of Concept let's assume that the basket assets are worth 1M dollars, and totalSuppl"
2021-12-amun,dd17040a53bc,258,Medium,high,DoS,Front Run,,,"Function `joinTokenSingle` in `SingleTokenJoin.sol` and `SingleTokenJoinV2.sol` can be made to fail. _Submitted by pmerkleplant, also found by certora, hyh, p4st13r4, pauliax, robee, and WatchPug_ #### Impact There's a griefing attack vulnerability in the function joinTokenSingle in SingleTokenJoin.sol as well as SingleTokenJoinV2.sol which makes a"
2021-12-amun,dd17040a53bc,267,Medium,high,Upgradeable,Missing Initialization,,,"It is possible to ""uninitialize"" `ERC20Facet` contract. _Submitted by Czar102_ #### Impact The initialization status is defined by the name and symbol. It is possible it set them back to an empty string, uninitializing the contract and letting the initialize(..) function be called again. This way, the owner may, for example, hide minting additional"
2021-12-amun,dd17040a53bc,291,Medium,no-vote,Uniswap,Implementation Error,,,"SingleNativeTokenExitV2 allows the user to exit and execute trades via multiple exchanges. When finishing the trades and sending a single output token back to the user, the contract takes that token from the last swap in the first exchange's trades. There is nothing in the struct that signifies th"
2021-12-amun,dd17040a53bc,294,Medium,no-vote,call / delegatecall,Missing Return Check,,,"Failed transfer with low level call could be overlooked. _Submitted by harleythedog_ #### Impact The CallFacet.sol contract has the function _call : function _call( address _target, bytes memory _calldata, uint256 _value ) internal { require(address(this).balance >= _value, ""ETH_BALANCE_TOO_LOW""); (bool success, ) = _target.call{value: _value}(_cal"
2022-01-xdefi,98b7c1691811,140,High,high,Accounting Error,Reward Manipulation,,,"Malicious early user/attacker can malfunction the contract and even freeze users' funds in edge cases. _Submitted by WatchPug_ < solidity _pointsPerUnit += ((newXDEFI * _pointsMultiplier) / totalUnitsCached); In the current implementation, _pointsPerUnit can be changed in updateDistribution() which can be called by anyone. A malicious early user ca"
2022-01-xdefi,98b7c1691811,141,High,high,Reentrancy,Violating CEI / Missing nonReentrant,,,"The reentrancy vulnerability in _safeMint can allow an attacker to steal all rewards. _Submitted by cccz, also found by cmichel, Fitraldys, kenzo, onewayfunction, and tqts_ There is a reentrancy vulnerability in the \_safeMint function solidity function _safeMint( address to, uint256 tokenId, bytes memory _data ) internal virtual { _mint(to, tokenI"
2022-01-xdefi,98b7c1691811,142,Medium,high,ERC721,Duplicate Value,,,"`_safeMint` Will Fail Due To An Edge Case In Calculating `tokenId` Using The `_generateNewTokenId` Function. _Submitted by leastwood, also found by cmichel, cmichel, egjlmn1, kenzo, MaCree, onewayfunction, sirhashalot, and WatchPug_ #### Impact NFTs are used to represent unique positions referenced by the generated tokenId. The tokenId value contai"
2022-02-anchor,a1ee58021528,277,Medium,low,"Chainlink, Oracle",Stale Value,,,"Sandwich attack on astroport sweep. < The collector contract allows anyone to sweep, swapping an asset token to ANC through astro port.<br> Note that belief_price is not set and config.max_spread might not be set as well or misconfigured. This allows an attacker to create a contract to perform a sandwich attack to make a profit on this trade. > A c"
2022-02-anchor,a1ee58021528,280,Medium,low,Access Control,"Does not match with Doc, Implementation Error",,,"Possible Wrong bAsset Rewards/Borrow limits Calculation. During the code review, It has been observed that reward calculation has been done with execute\_epoch\_operations function. However, the config are stored in the storage. When the anc\_purchase\_factor is updated by the owner, the execute\_epoch\_operations is not called. ### Proof of Concep"
2022-02-anchor,a1ee58021528,283,Medium,low,"DoS, Input Validation",Invalid Validation,,,"When transferring tokens not in `whitelist` on Ethereum to Terra with `CrossAnchorBridge.depositStable()`, the funds may get frozen. In the current implementation of CrossAnchorBridge, all require that ""Check that token is a whitelisted token"" is commented out. As a result, users may send transcations with the non-whitelisted tokens and as they can"
2022-02-anchor,a1ee58021528,305,Medium,low,Cross-Chain,No Recovery Mechanism,,,"`anchor_basset_reward` pending yields can be stolen. For yield farming aggregators, if the pending yield on an underlying strategy can be harvested and cause a surge of rewards to all existing investors, especially if the harvest can be triggered permissionlessly. Then the attacker can amplify the attack using a flash loan. This is a well-known att"
2022-02-anchor,a1ee58021528,307,Medium,low,Accounting Error,State Update Inconsistency,,,"Unbonding validator random selection can be predicted. When unbonding, the pick_validator function is supposed to choose a random validator to unstake from.<br> However, this randomness can be predicted knowing the block height which is very easy to predict. rust let mut iteration_index = 0; while claimed.u128() > 0 { let mut rng = XorShiftRng::see"
2022-02-anchor,a1ee58021528,312,Medium,low,DoS,Invalid Validation,,,"`money-market-contracts/contracts/market` `claim_rewards` may revert due to `spend_limit` set on `distributor`. While claim_rewards from the money-market, it calls the distributor_contract#spend() to send the rewards. < rust let messages: Vec<CosmosMsg> = if !claim_amount.is_zero() { vec![CosmosMsg::Wasm(WasmMsg::Execute { contract_addr: deps .api"
2022-02-anchor,a1ee58021528,191,High,high,Access Control,Invalid Validation,,,"FabricateMIRClaim and FabricateANCClaim should only be issued by the Hub contract (the central hub for all minted bLuna managed by Lido). However, execute_fabricate_anchor_claim and execute_fabricate_mir_claim do not restrict the caller, allowing anyone to submit these msgs."
2022-02-anchor,a1ee58021528,208,High,high,Oracle,Stale Value,,,"`money-market-contracts/oracle#feed_prices()` delayed transaction may disrupt price feeds. < The implementation only takes two attributes: asset and price. And the last_updated_time of the record will always be set to the current block.time. This makes it possible for the price feeds to be disrupted when the network is congested, or the endpoint is"
2022-02-anchor,a1ee58021528,222,High,high,Access Control,Bypass Mechanism,,,It seems that the owner is only allowed to spend amount uptil config.spend_limit. However it was observed that this config.spend_limit is never decreased even if owner has spend an amount. This makes config.spend_limit useless as owner can simply send 2-multiple transactions each of config.spend_limit which will all pass and hence bypassing
2022-02-anchor,a1ee58021528,263,Medium,high,Governance,State Update Inconsistency,,,"Governance Voting Dis-proportionally Favours Users Who Stake And Vote After A Poll Has Been Created And Had Its Snapshot Taken. < < < < Polls are created by targeting the receive_cw20 function which is queried whenever the contract receives tokens. By setting the hook message to Cw20HookMsg::CreatePoll, the sender is able to create a poll, assuming"
2022-02-anchor,a1ee58021528,290,Medium,no-vote,Cross-Chain,No Recovery Mechanism,,,"Updating the hub’s token contract address may lead to incorrect undelegation amount. < The hub contract allows config updates to the token_contract config values in anchor-bAsset-contracts/contracts/anchor_basset_hub/src/config.rs.<br> Such updates can cause wrong amounts of tokens to be calculated during processing of undelegations, since the amou"
2022-02-anchor,a1ee58021528,331,Medium,high,Arithmetic,Incorrect Formula,,,"Simple interest calculation is not exact. < The borrow rate uses a simple interest formula to compute the accrued debt, instead of a compounding formula. rust pub fn compute_interest_raw( state: &mut State, block_height: u64, balance: Uint256, aterra_supply: Uint256, borrow_rate: Decimal256, target_deposit_rate: Decimal256, ) { // @audit simple int"
2022-02-anchor,a1ee58021528,332,Medium,high,Arithmetic,Rounding Error,,,The staking contract keeps track of *shares* of each user. When withdrawing from the staking contract the amount parameter is converted to shares and this value is decreased (shares = amount / total_balance * total_share). This shares calculation rounds down which allows stealing tokens. The current code seems to try to protect ag
2022-02-anchor,a1ee58021528,333,Medium,high,DoS,Implementation Error,,,"Potential lock of rewards in the custody contracts. The swap_to_stable_denom function in the custody contracts swaps all other native tokens into a specific one. The function creates swap messages for all the other native tokens and adds them as sub-messages, and handles the reply only when the last sub-message succeeds. Upon receiving the reply, t"
2022-02-anchor,a1ee58021528,335,Medium,high,Flashloan,Reward Manipulation,,,"`bEth` Rewards May Be Depleted By Flashloans or Whales. < Rewards are dispersed to users as a percentage of the user's balance vs total balance (of bEth). Rewards are accumulated each time a user calls execute_decrease_balance(), execute_increase_balance() or execute_claim_rewards() as these functions will in term call update_global_index() before"
2022-03-volt,1d8f1f43cde9,274,Medium,low,"Arithmetic, Oracle",Implementation Error,,,"`OracleRef` assumes backup oracle uses the same normalizer as main oracle. _Submitted by cmichel_ OracleRef.sol#L104<br> The OracleRef assumes that the backup oracle uses the same normalizer as the main oracle.<br> This generally isn't the case as it could be a completely different oracle, not even operated by Chainlink.<br> If the main oracle fail"
2022-03-volt,1d8f1f43cde9,275,Medium,low,DoS,Duplicate Value,,,"Updating rate limit for addresses restores their entire buffer amount. _Submitted by cmichel_ MultiRateLimited.sol#L280<br> When the bufferCap is updated for an address in _updateAddress, the address's allowed buffer (bufferStored) is replenished to the entire bufferCap. The address could frontrun the updateAddress call and spend their entire buffe"
