Property,repo_path,severity,tag,subtag,description
24,37dd0c2e7de6,Medium,Logic Error,Price Manipulation / Arbitrage opportunity,Users can choose to claim old rewards before a token update or wait for the new token.
25,37dd0c2e7de6,Medium,ERC20,Missing Return Check, Use safeTransfer instead of transfer
26,d5aa11e316e7,High,Accounting Error,Incorrect Parameter,"When updating the vault assets, the entire strategy balance was mistakenly used as the decrement instead of just the portion exceeding the limit, leading to incorrect asset records and distorting the share allocation."
27,d5aa11e316e7,High,Accounting Error,Incorrect Parameter,"The formula for updating the vault balance is incorrect, mistakenly using the entire strategy balance as the decrement, resulting in a severe underestimation of the balance and triggering assertion failures that lock funds within the strategy."
28,d5aa11e316e7,High,Input Validation,"Duplicate Value, Invalid Validation"," Lack of checks for duplicate token additions, allowing the same token to be added multiple times to the same or different vaults."
29,d5aa11e316e7,High,MEV,Price Manipulation / Arbitrage opportunity,"When withdrawing from the Vault, if liquidity is insufficient, funds are pulled from the Controller. The Controller does not verify successful withdrawals, so if all strategies combined cannot cover the withdrawal, the function continues without reverting."
30,d5aa11e316e7,High,Flashloan,"Peg / Depeg, Price Manipulation / Arbitrage opportunity"," The contract treats all tokens as equal in value and mints shares purely based on token quantity.
"
31,d5aa11e316e7,Medium,"Accounting Error, ERC20",State Update Inconsistency,"The deposit function does not correctly handle fee-on-transfer or rebasing ERC20 tokens.
"
32,d5aa11e316e7,Medium,ERC20,Not EIP Compliant,The contract does not check the return values of ERC20 transfer and transferFrom.
33,d5aa11e316e7,Medium,Accounting Error,State Update Inconsistency,"In cases of insufficient funds for withdrawals, the share destruction calculation formula continues to use the old withdrawal amount parameter and does not recalculate with the updated actual withdrawal amount, resulting in users burning more shares than intended and causing unfair distribution."
34,d5aa11e316e7,Medium,Accounting Error,"Peg / Depeg, Price Manipulation / Arbitrage opportunity, Reward Manipulation","_addLiquidity does not check or adjust the deposit ratios of the three stablecoins when adding liquidity, leading to a situation where the value of LP tokens is lower than the assets invested in a case of imbalanced proportions, creating an arbitrage opportunity."
35,d5aa11e316e7,Medium,Accounting Error,"Peg / Depeg, Price Manipulation / Arbitrage opportunity","The vault's multi-currency deposits and withdrawals are not calculated based on actual exchange rates, but are treated as equivalent, resulting in low-cost arbitrage opportunities."
36,d5aa11e316e7,Medium,Slippage,Missing minOut / maxAmount,"The token swap operation with CRV lacks a minimum output check, allowing sandwich attacks to profit directly by manipulating transaction prices, resulting in user fund losses."
37,d5aa11e316e7,Medium,MEV,"Asset Theft, Front Run","The vault allows the specification of withdrawal tokens without checking the available balance of those tokens, which enables attackers to execute front-running transactions to deplete the assets, causing subsequent users to have their shares destroyed without receiving the corresponding funds."
38,d5aa11e316e7,Medium,Accounting Error,State Update Inconsistency," After recovering assets from a strategy contract, the Vault does not update the internal balance for that strategy, leaving it higher than the actual withdrawable amount.
"
39,d5aa11e316e7,Medium,Input Validation,Invalid Validation,The bidirectional mapping is not properly maintained. addToken() overwrites vaults but does not remove the corresponding token from the tokens array.
40,d5aa11e316e7,Medium,Flashloan,Price Manipulation / Arbitrage opportunity,"When calculating voting weights, use the real-time data from getReserves()"
41,d5aa11e316e7,Medium,Logic Error,Incorrect Parameter,"The function was intended to calculate the valuation of swapping WETH back to YAXIS, but the swap path was set incorrectly, resulting in a wrong valuation."
42,d5aa11e316e7,Medium,Slippage,Hardcoded Parameter,"minOut is not set.
"
43,d5aa11e316e7,Medium,Access Control,Centralization Risk,Allows strategists to unintentionally or maliciously add/remove strategies in unauthorized vaults.
44,d5aa11e316e7,Medium,Access Control,Role Takeover,"The stop protocol should be onlyGovernance, not onlyStrategist."
45,966f040d9bc8,High,Upgradeable,Misuse of Dependency,"Using the wrong version of the Ownable library leads to the owner not being set correctly, causing all onlyOwner functions to operate improperly."
46,966f040d9bc8,High,Accounting Error,State Update Inconsistency,"The unstake() function calculates the shares to be removed using the old exchange rate before updating it, resulting in an overburn of shares and causing users to lose a portion of their rewards."
47,966f040d9bc8,Medium,Arithmetic,Precision Loss,"Multiple reward distribution functions use integer division and round down when calculating, causing decimal portions of rewards to be discarded when the numerator is not divisible by the denominator, resulting in a loss of precision in user rewards."
48,966f040d9bc8,Medium,Accounting Error,State Update Inconsistency,"The updateGlobalExchangeRate function skips the update when totalGlobalShares is 0, leading to rewards during that period being missed and permanently locked in the contract, causing revenue loss and inconsistencies in the accounting state."
49,966f040d9bc8,Medium,Access Control,Centralization Risk,Setting the commissionRate to 1e18 - 1 (an extreme value) may result in validators being unable to receive commission rewards.
50,3a8408b6f3d4,High,"Access Control, Input Validation","Asset Theft, Invalid Validation",fillZrxQuote() allows sending custom call data to any contract and executing it. Attackers can craft a malicious transferFrom call to steal ERC20 tokens from authorized users.
51,3a8408b6f3d4,High,Accounting Error,Incorrect Parameter,"When a user tries to swap unwrapped ETH to ERC20, even if there is a certain amount of ETH refunded, ethDelta will always be 0."
52,3a8408b6f3d4,Medium,DoS,payable / receive(),"In Swap.sol, using transfer() to send ETH is limited by a fixed gas cap of 2300.If the recipient is a contract without a payable fallback or a fallback that exceeds this limit, it will cause the transaction to fail and may result in funds becoming inaccessible."
53,3a8408b6f3d4,Medium,ERC20,No Recovery Mechanism,"In the Swap.sol , if a user sells ERC20 tokens and generates a return of leftover ERC20 tokens, the contract will only refund ETH type refunds. This results in those ERC20 tokens being permanently left in the contract and unrecoverable."
54,3a8408b6f3d4,Medium,Input Validation,"Bypass Mechanism, Invalid Validation","Swap.swapByQuote() does not verify that zrxBuyTokenAddress matches the actual asset type, allowing malicious contract addresses to masquerade as ERC20 tokens. This can lead to erroneous branching logic and enable the circumvention of the ETH exchange fee mechanism."
55,50015cf871a0,High,"Arithmetic, DoS",Precision Loss,"YearnVault.pull() converts underlying to shares using integer math with decimals/pricePerShare, causing precision loss so the actual underlying received from withdraw() is less than tokenAmounts[i].The code also ignores the yToken.withdraw() return value, leaving tokenAmounts[i] overstated and making the subsequent transfer revert due to insufficient balance."
56,50015cf871a0,High,Accounting Error,Incorrect Formula,"The performanceFee calculation uses an Incorrect Formula that mints shares based on the total supply rather than the profit and fee rate, causing severe dilution of LP shares."
57,50015cf871a0,High,MEV,Front Run,"UniV3Vault.tvl() excludes uncollected LP fees (pending yields), so deposit/mint prices shares using an understated TVL and mis-mints shares.An attacker can front-run collectEarnings() to buy shares too cheaply, then withdraw right after harvesting/reinvesting realizes the fees, capturing a portion of previously pending yields from existing holders."
58,50015cf871a0,High,Accounting Error,State Update Inconsistency,"The system fails to update the cached TVL of the Rebase Token (aToken) before deposits, causing the use of a Stale Value for share calculation and allowing attackers to steal accrued interest via undervalued shares."
59,50015cf871a0,Medium,Slippage,Missing minOut / maxAmount,"The deposit function calculates shares based on instantaneous TVL ratios but lacks a minOut parameter to verify the LP tokens received, leading to Slippage during pool rebalancing or front-running."
60,50015cf871a0,Medium,Accounting Error,State Update Inconsistency,"The withdrawal process fails to update the cached TVL of the Rebase Token (aToken), causing the system to use a Stale Value for share calculation and resulting in users missing out on accrued interest."
61,50015cf871a0,Medium,Logic Error,"Bad Condition, Bypass Mechanism","The _chargeFees function contains a Bad Condition that skips fee collection if the elapsed time is less than managementFeeChargeDelay, allowing users to exploit this window to bypass fees via rapid deposits and withdrawals."
62,50015cf871a0,Medium,Logic Error,Missing Approval,"The ChiefTrader fails to pull tokens from the user and does not approve the sub-trader before the swap, causing the sub-trader's transferFrom call to revert due to insufficient allowance."
63,50015cf871a0,Medium,Logic Error,Bad Condition,"The removeFromTokenWhitelist function incorrectly checks _tokenEverAdded instead of the current _tokensAllowed status when decrementing, allowing the admin to repeatedly call the function and corrupt the _numberOfValidTokens count."
64,50015cf871a0,Medium,Uniswap,Implementation Error,"When handling swapExactOutput, the code incorrectly reverses the Uniswap V3 path bytes byte-by-byte instead of logically reversing the encoded structure (Token and Fee), resulting in corrupted path data."
65,50015cf871a0,Medium,"DoS, Input Validation",Invalid Validation,"The redirects parameter lacks Input Validation, allowing self-redirection or circular loops (e.g., 0->0 or 0->1->0), which causes the transfer logic to zero out amounts immediately after addition, resulting in a DoS where deposits and withdrawals fail."
66,d52ee365a168,High,Oracle,Incorrect Formula,"The CreditLine._borrowTokensToLiquidate function incorrectly passes borrowAsset/collateralAsset in the oracle query, when it should be a reverse query. This leads to incorrect calculation of the liquidation price ratio, potentially resulting in financial losses for the liquidator or lender during the liquidation process."
67,d52ee365a168,High,Accounting Error,Incorrect Parameter,"The SavingsAccountUtil.depositFromSavingsAccount() function incorrectly returns _amount instead of the actual number of shares obtained when calling savingsAccountTransfer(). This will result in incorrect records of the pool's collateral assets when PPS ≠ 1, leading to fund locking or liquidation failures."
68,d52ee365a168,High,DoS,Incorrect Parameter,"The SavingsAccountUtil.transferTokens() function incorrectly uses msg.value as the amount for the ETH transfer instead of _amount, resulting in ETH not being correctly withdrawn from the liquidity pool. This leads to liquidity tokens being burned without the ability to redeem funds, causing denial of service and financial losses."
69,d52ee365a168,High,Arithmetic,Token Decimal,"The YearnYield.getTokensForShares and getSharesForTokens functions in Yearn Vault calculations hardcode a division by 1e18, ignoring the actual precision of vault.decimals. This results in incorrect calculations when the underlying token does not have 18 decimals."
70,d52ee365a168,High,"Accounting Error, ERC20",Rebase Token,"When a user deposits assets into Aave via AaveYield.lockTokens, the sharesReceived is calculated based on the difference in the rebasing token balance. However, sharesReceived is cached in the balanceInShares mapping in SavingsAccount.deposit, causing these shares not to reflect the dynamic changes of the rebasing token.
"
71,d52ee365a168,High,Liquidation,"Bypass Mechanism, Does not match with Doc, Invalid Validation","When autoLiquidation is set to false, the intention of the contract is for only lenders to be able to perform liquidations. However, the code lacks the corresponding permission check logic, allowing anyone to liquidate and directly obtain collateral without needing to repay the borrowed tokens, essentially leading to the theft of the lender's collateral."
72,d52ee365a168,High,"Accounting Error, Input Validation",Bad Condition,"The contract assumes full withdrawal or strategy switch will always return the requested amount, updating user balances without verifying actual tokens received, causing assets to remain locked in the strategy."
73,d52ee365a168,High,Input Validation,Invalid Validation,"The switchStrategy function allows interaction with an unregistered _currentStrategy, enabling attackers to supply a malicious contract that returns arbitrary token amounts and steal assets from the SavingsAccount."
74,d52ee365a168,High,"Chainlink, Oracle","Invalid Validation, Price Manipulation / Arbitrage opportunity","The PriceOracle, when fetching prices from Chainlink or Uniswap, only checks that the price exists (_decimals != 0) and does not filter or validate abnormal price values."
75,d52ee365a168,High,Logic Error,Implementation Error,"The variable received is not assigned a value before calling safeTransfer, causing the passed value to always be 0.
"
76,d52ee365a168,High,Logic Error,"Missing Functionality, No Recovery Mechanism","The emergencyWithdraw function assumes all assets are ERC20 tokens and calls IERC20.balanceOf() even for ETH (address(0)), causing the function to revert and leaving ETH permanently locked."
77,d52ee365a168,Medium,Input Validation,"Invalid Validation, No Recovery Mechanism","The _createPool function ignores any attached ETH when _collateralToken is non-zero, causing sent Ether to remain stuck in the PoolFactory instead of being transferred to the new pool contract."
78,d52ee365a168,Medium,Liquidation,Does not match with Doc,ETH sent to CreditLine.liquidate by an external liquidator when autoLiquidation is enabled remain with the contract and aren't transferred to the lender
79,d52ee365a168,Medium,Input Validation,Invalid Validation, depositCollateral doesn’t check the status of the pool so collateral can be deposited in a finished loan.
80,d52ee365a168,Medium,Access Control,State Update Inconsistency,"The unlinkAddress function does not clear the corresponding pendingLinkAddresses entry, allowing the unlinked address to immediately relink without the master’s permission."
81,d52ee365a168,Medium,Governance,State Update Inconsistency,"The Extension contract correctly reduces votes from the from address and adds it to the to address during the transfer (in case both of them voted on it before), but it does not rerun the voting logic in voteOnExtension that actually grants the extension.
"
82,d52ee365a168,Medium,"Access Control, DoS, ERC20",Fee On Transfer Token,"NoYield.sol.lockTokens 
assumes that the amount received is equal to the amount specified in transfer or transferFrom. It does not account for fee on transfer tokens, leading to incorrect calculation of sharesReceived."
83,d52ee365a168,Medium,DoS,Typo,AaveYield: Misspelled external function name making functions fail
84,d52ee365a168,Medium,ERC20,safeApprove,"There are 3 instances (CreditLine.sol#L647, CreditLine.sol#L779 , AaveYield.sol#L324) where the IERC20.approve() function is called only once without setting the allowance to zero. Some tokens, like USDT, require first reducing the address' allowance to zero by calling approve(_spender, 0). "
85,8b0abbf14c91,High,Access Control,"Does not match with Doc, Implementation Error","The receiveCollateral function lacks a caller restriction to ActivePool, allowing any address to invoke it with arbitrary token and amount parameters to alter StabilityPool balances."
86,8b0abbf14c91,High,Accounting Error,Incorrect Formula,The rebase credited users using net worth (YUSD + YETI) but capped against total YETI balance instead of extra YETI not yet accounted. This let effectiveYetiTokenBalance grow beyond real holdings → potential default when users withdraw. https://github.com/code-423n4/2021-12-yetifinance/blob/main/packages/contracts/contracts/YETI/sYETIToken.sol#L282 is to always cap by yeti.balanceOf(this) - effectiveYetiTokenBalance and keep units consistent.
87,8b0abbf14c91,Medium,Input Validation,"Hardcoded Parameter, Invalid Validation","
The function hard‑codes indexes (0 and 1) of the amounts array instead of using first and last, and does not validate path endpoints. Price becomes wrong whenever the path is not exactly YUSD -> YETI with length 2.

"
88,8b0abbf14c91,Medium,"Chainlink, Oracle","Missing Return Check, Stale Value","The function_getCurrentChainlinkResponse() blindly trusts the values returned by Chainlink’s latestRoundData() without performing all the necessary validity checks — specifically, it does not verify that the round’s answer is finalized using the answeredInRound field, which may result in stale price"
89,8b0abbf14c91,Medium,Input Validation,Invalid Validation,"ActivePool.sendCollaterals function internally call _sendCollateral, which uses whitelist.getIndex(_collateral) as if it were a validated lookup, but for a non-whitelisted token, it returns 0 (the same index as the first real whitelisted token). As a result, the code silently updates poolColl.amounts[0], i.e., the balance slot of the first whitelisted asset—while actually transferring some other (unsupported) token."
90,8b0abbf14c91,Medium,DoS,Out of Gas,"There is no upper limit on poolColl.tokens[], it increments each time when a new collateral is added. Eventually, as the count of collateral increases, gas cost of smart contract calls will raise and that there is no implemented function to reduce the array size."
91,8b0abbf14c91,Medium,Reentrancy,Violating CEI / Missing nonReentrant,"addColl(), withdrawColl(), withdrawYUSD(), repayYUSD(), adjustTrove(), openTrove(), closeTrove()  is potentially re-entrant."
92,8b0abbf14c91,Medium,Input Validation,Invalid Validation,"It's possible to repeatedly add the first collateral token in validCollateral through the Whitelist.addCollateral function. The validCollateral[0] != _collateral check will return false and skip further checks.
> note that the source code has already been fixed
"
93,8b0abbf14c91,Medium,"Arithmetic, DoS",Implementation Error,"The implementation computes and stores the later segments’ y‑intercepts ($b_2, b_3$) as uint256, but for realistic “kinked” curves used in lending platform (flat first, then steep), these intercepts are often negative.
"
94,8b0abbf14c91,Medium,Input Validation,"Does not match with Doc, Implementation Error, Invalid Validation","The getFee function’s implementation checks only the new collateral input against dollarCap while the comment specifies checking total plus input, creating a mismatch that could mislead integrators and cause cap enforcement to fail."
95,8b0abbf14c91,Medium,Logic Error,Implementation Error,"The calculateDecayedFee function treats decay >= decayTime the same as decay == 0, incorrectly preserving lastFeePercent instead of resetting it to zero, thus breaking the intended fee decay logic."
96,4dd1b2af57b2,High,Input Validation,"Incorrect Parameter, Reward Manipulation","The borrow() function allows users to directly input zIncrease, which should instead be a calculated value rather than user-provided. An attacker can exploit this by borrowing a minimal amount (e.g., 1 wei) while specifying an arbitrarily large zIncrease, artificially inflating pool.state.z and potentially enabling cash-out exploits."
97,4dd1b2af57b2,High,Input Validation,Incorrect Parameter,The borrowGivenDebt() function allows an attacker to manipulate state.y using a minimal asset outflow. This can break the interest rate mechanism and enable the attacker to steal funds.
98,4dd1b2af57b2,High,Input Validation,"Incorrect Parameter, Price Manipulation / Arbitrage opportunity","Allowing users to arbitrarily specify the interest (interest) they want to pay directly affects yIncrease, which can be manipulated to exploit the protocol."
99,4dd1b2af57b2,High,Reentrancy,Violating CEI / Missing nonReentrant,The lock modifier guards against reentrancy but not against cross function reentrancy.
100,4dd1b2af57b2,High,Reentrancy,Violating CEI / Missing nonReentrant,The lock modifier guards against reentrancy but not against cross function reentrancy.
101,4dd1b2af57b2,High,Reentrancy,Violating CEI / Missing nonReentrant,The lock modifier guards against reentrancy but not against cross function reentrancy.
102,4dd1b2af57b2,High,Reentrancy,Violating CEI / Missing nonReentrant,The lock modifier guards against reentrancy but not against cross function reentrancy.
103,4dd1b2af57b2,Medium,Logic Error,Missing Functionality,"In CollateralizedDebt.sol, the burn() function does not call the ERC721 _burn() method, which results in the ERC721 token not being properly destroyed. As a result, users may still hold the ERC721 token that should have been burned, even after receiving the corresponding funds."
104,4dd1b2af57b2,Medium,DoS,Bad Condition,"In safeDecimals(), when data.length >= 32, it uses abi.decode to return a uint8. However, if data.length is greater than 32, it will cause abi.decode to revert."
105,4dd1b2af57b2,Medium,"DoS, ERC20",Bad Condition,"safeName() assumes that all ERC20 tokens return a string value, but some tokens return a bytes32 instead. This mismatch can cause abi.decode() to revert."
106,4dd1b2af57b2,Medium,"DoS, ERC20",Bad Condition,"safeSymbol() assumes that all ERC20 tokens return a string value, but some tokens return a bytes32 instead. This mismatch can cause abi.decode() to revert."
107,4dd1b2af57b2,Medium,XSS Attack,Invalid Validation,XSS via SVG generates the on-chain SVG for an ERC-721 token ID
108,4dd1b2af57b2,Medium,DoS,"Front Run, Missing minOut / maxAmount","In TimeswapPair.sol's mint() function, an attacker can initialize state.y with a very small yIncrease value (such as 1 wei). Since state.y is expected to be a large number, this causes subsequent borrow or mint operations to have minimal impact on it, effectively freezing the entire liquidity pool."
109,4dd1b2af57b2,Medium,"ERC721, Reentrancy",Violating CEI / Missing nonReentrant,no reentrancy guard
110,4dd1b2af57b2,Medium,"Arithmetic, DoS",Front Run,"After a user calls pay(), an attacker can front-run the transaction and repay a minimal amount of the debt (typically 1 unit, such as 10^-18). This causes the user's repayment to result in an underflow during execution, leading to a revert."
111,4dd1b2af57b2,Medium,ERC20,Fee On Transfer Token,"When the asset or collateral is a fee-on-transfer token, the TimeswapConvenience contract cannot accurately calculate the actual amount received during transfers. This causes the Pair contract's validations to fail and the transaction to revert, as the Convenience contract does not account for the transfer fee deductions."
112,4561d049a9da,High,Input Validation,Invalid Validation,"The E303 check is performed before updating assetIn and collateralOut, allowing attackers to bypass the proportion check by using zero values on the first iteration."
113,4561d049a9da,Medium,Arithmetic,Missing Initialization,"The variable excess is incorrectly initialized to zero, causing an underflow when subtracting dueOut.collateral. As a result, ETH.transfer() is never called and the function will always revert if maxCollateral > dueOut.collateral."
114,4561d049a9da,Medium,"Arithmetic, DoS",Front Run,"An attacker can frontrun a user’s full repayment by paying a negligible amount (e.g., 1 wei), causing the user’s due.debt -= param.assetsIn[i] to underflow and revert, making full repayment impossible."
115,4561d049a9da,Medium,RCE,Misuse of Dependency,"The NPM package scope @timeswap-labs was unclaimed, allowing any attacker to publish a malicious package with a higher version. "
116,19000d572f72,High,Cross-Chain,No Recovery Mechanism,"If the contract call on the destination chain fails and the contract on the source chain lacks a mechanism to return the burned tokens or re-mint them, it may result in a loss of user assets."
117,19000d572f72,Medium,call / delegatecall,Missing Return Check,"Before calling call, the address should be checked to determine whether it is an externally owned account (EOA) or a contract address."
118,19000d572f72,Medium,"DoS, Reentrancy",Execution Order Dependency,The _execute function and its wrapper execute are both reentrant.
119,19000d572f72,Medium,"Accounting Error, ERC20",Fee On Transfer Token,"When handling fee-on-transfer tokens, the actual amount of tokens received by the contract in _burnTokenFrom will be less than the specified amount."
120,a8a9998bfe4a,Medium,Access Control,Bypass Mechanism,"AlchemicTokenV2Base.lowerHasMinted() shares the same permission level as mint(), allowing whitelisted users to arbitrarily reduce their totalMinted and bypass the minting cap enforced in mint().Whitelisted users can mint as more tokens as they want to any recipients."
121,a8a9998bfe4a,Medium,Slippage,minOut set to 0,TransmuterBuffer._alchemistDeposit() calls IAlchemistV2(alchemist).depositUnderlying() with minOut hardcoded to 0.Setting minOut to 0 means no slippage protection. Users may suffer significant losses.
122,a8a9998bfe4a,Medium,DoS,"Implementation Error, Incorrect Parameter","FuseTokenAdapterV1.wrap() and FuseTokenAdapterV1.unwrap() check if the return value of mint() and redeem() is NO_ERROR respectively. (NO_ERROR is declared as 0 in the beginning of the contract) However, the return value of mint() and redeem() is the amount minted or redeemed.Due to the wrong condition check, both FuseTokenAdapterV1.wrap() and FuseTokenAdapterV1.unwrap() revert even when the operation succeeds."
123,a8a9998bfe4a,Medium,Slippage,Invalid  Slippage Control / Missing slippage check,"YearnTokenAdapter.unwrap() hardcodes the slippage control parameter to MAXIMUM_SLIPPAGE=10_000 (which is 100%) when calling IYearnVaultV2.withdraw().Setting maxLoss in IYearnVaultV2.withdraw() to 10_000 means there’s no slippage check, resulting in the possibility of all funds lost."
124,a8a9998bfe4a,Medium,Upgradeable,Storage Gap,No Storage Gap for Upgradeable Contracts
125,a8a9998bfe4a,Medium,Arithmetic,Token Decimal,"ThreePoolAssetManager._mintMetaPoolTokens() treats every token as 18 decimal and simply add every token without considering decimal difference. (CURVE_PRECISION is set to 1e18) If actual token decimals exceed 18, minTotalAmount becomes too high for Curve to mint; If actual token decimals are below 18, slippage control fails, potentially causing fund losses."
126,a8a9998bfe4a,Medium,ERC20,safeApprove, AutoleverageBase.approve() changes allowance directly without first setting the allowance to 0.Some tokens like USDT require first set to 0 and then the actual allowance must be approved. The implementation of AutoleverageBase.approve() will fail on these tokens.
127,a8a9998bfe4a,Medium,ERC20,safeApprove,YearnTokenAdapter.wrap() calls safeApprove() without first set the allowance to 0.Some tokens like USDT require first set to 0 and then the actual allowance must be approved. The implementation of AutoleverageBase.approve() will fail on these tokens.
128,a8a9998bfe4a,Medium,Input Validation,Invalid Validation, TransmuterBuffer.setAlchemist() does not check whether the old Alchemist still has open positions or remaining funds before switching to the new one. Funds left in the old Alchemist are locked and needs manual recovery.
129,a8a9998bfe4a,Medium,Input Validation,Inflation Attack,"The new gALCX contract lacks a minimum deposit or initial liquidity requirement, allowing an attacker(first depositor) to acquire the only gALCX share with a tiny deposit. Then the attacker transfers a massive amount of ALCX to the contract and calls bumpExchangeRate() to increase the cost to get a gALCX. Due to high exchangeRate and rounding down in division, the remainder part of subsequent stakers’ staking will be lost and distributed to the attacker."
130,a8a9998bfe4a,Medium,DoS,State Update Inconsistency,"If tokens are transferred directly to the contract instead of using gALCX.stake(), it will cause balance > 0 and totalSupply = 0, and the check in gALCX.bumpExchangeRate() will pass since it checks with balance instead of totalSupply, resulting in a division by zero in (balance * exchangeRatePrecision) / totalSupply in gALCX.bumpExchangeRate(). Some functions in gALCX like stake, unstake, and migrateSource fail since they call bumpExchangeRate()."
131,a8a9998bfe4a,Medium,DoS,Missing Functionality," registeredUnderlyings array can only be increased (via TransmuterBuffer.registerAsset()) with no way to reduce or reconstruct. If an extra call to TransmuterBuffer.registerAsset() is made or the Alchemist is switched to one with fewer supported assets via TransmuterBuffer.setAlchemist(), the length check between registeredUnderlyings and supportedUnderlyingTokens in TransmuterBuffer.refreshStrategies() will fail. Strategy refresh becomes impossible since TransmuterBuffer.refreshStrategies() will always revert."
